"Sepsis (non-obstetric)","Acute resp infect incl pneumonia","HIV/AIDS related death","Diarrhoeal diseases","Malaria","Measles","Meningitis and encephalitis","Tetanus","Pulmonary tuberculosis","Pertussis","Haemorrhagic fever","Other and unspecified infect dis","Oral neoplasms","Digestive neoplasms","Respiratory neoplasms","Breast neoplasms","Reproductive neoplasms MF","Other and unspecified neoplasms","Severe anaemia","Severe malnutrition","Diabetes mellitus","Acute cardiac disease","Sickle cell with crisis","Stroke","Other and unspecified cardiac dis","Chronic obstructive pulmonary dis","Asthma","Acute abdomen","Liver cirrhosis","Renal failure","Epilepsy","Other and unspecified NCD","Congenital malformation","Prematurity","Birth asphyxia","Neonatal pneumonia","Neonatal sepsis","Other and unspecified neonatal CoD","Fresh stillbirth","Macerated stillbirth","Road traffic accident","Other transport accident","Accid fall","Accid drowning and submersion","Accid expos to smoke fire & flame","Contact with venomous plant/animal","Exposure to force of nature","Accid poisoning & noxious subs","Intentional self-harm","Assault","Other and unspecified external CoD","Ectopic pregnancy","Abortion-related death","Pregnancy-induced hypertension","Obstetric haemorrhage","Obstructed labour","Pregnancy-related sepsis","Anaemia of pregnancy","Ruptured uterus","Other and unspecified maternal CoD"
"N","C","C","C","C","C","C","C","C","C","C","D","C","C","C","C","C","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","B+","B+","A-","B+","B+","B+","B+","A","B-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","B","B-","B","B","B+","C","B-","A","B-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","B-","B-","B","B","A-","B","B","A-","B-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","D","B-","B","A+","A-","B-","A","D"
"N","C-","D","D","C","D","D","D","C","N","D","D","D","D","D","D","D","D","N","D","D","B","B","C","C","C","C","D","D","D","C","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","N","N","A-","B+","A","N","A","A+","C"
"N","C","C","C","C","C","C","C","C","D-","D","D","D","D","D","D","D","D","N","D","D","C","C","C","C","C","C","D","D","D","D","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","A-","A-","B","A+","A","D","A-","A+","B"
"N","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","C","D","C","C","C","C","C","C","D","C","C","D","C","C","C","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","N","N","C","B","D","C","A","D","B"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","B","B","D","B"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","B+","A-","B+","B","B+","C","A-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","A-","A","A","A","B+","C","A-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","A-","A","A","A","B+","C","A-"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","B+","A-","A-","B","B+","C","C"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","D","B","C","B","B","B","B"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","B-","B","A-","B+","C+","B-","C"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","A-","B+","A-","B+","C+","C","C"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","C+","B","A-","B","C+","B","C"
"N","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","N","B","C","D","D","D","D","D"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","B","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","N","B-","C-","B","B-","C+","D","A","D"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","D","D","C","C","C","C","C+","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","B -","B-","I","B-","B-","B-","B-","D","D"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","D","D","C","C","C","C","C","C","C","C","C","C","C","N","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","C+","C+","A","C+","C+","B-","C+","D","D"
"N","C","C","C","C","C","C","C","C","C","C","D","C","C","C","C","C","D","D","C","C","C","C","C+","C","C","C","C","C","C","C+","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","C-","C-","A","C-","C-","B","B","D","D"
"N","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","C","D","C","C","C","I","B","D","A","A","D"
"N","D","D","D","D","D","D","D","D","D","D+","D","D","D","D","D","D+","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","C","D","B","B","C","A+","C","D","A","C","D"
"N","D","D","D","D","D","D","D","D","D","D+","D","D","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","N","N","C","A+","C","D","A","C","D"
"N","D","D","D","D","D","D","D","D","D","D+","D","D","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","N","N","C-","A+","A-","D","A","B","D"
"N","D","D","D","D","D","D","D","D","D","D+","D","D","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","N","N","D","A+","C","D","A","B","D"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","C","A","B","B","B","B-","D"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","B","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","B","A","B","B","B+","A","B","D","D"
"N","C","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C+","A+","C+","B","C-","C","C","C","D"
"N","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","N","I","N","N","N","N","N","N","N"
"C","C","D","D","D","D","D","D","N","E","N","D","N","N","N","N","N","N","N","C","N","D","D","D","D","N","D","D","D","D","D","E","C","A","B","C-","B-","B","B","A","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C","C","D","D","D","C","C+","D","N","E","N","D","N","N","N","N","N","N","N","C","N","D","D","D","D","N","D","D","D","D","D","E","D","A-","B","B-","C","B","C","C","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"D","D","D","D","D","D","C+","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","B","B","C","C","D","B","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"D","D","D","D","D","D","C","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","C","E","D","A","B","B","B","B","B","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C","C","D","D","D","D","C","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","C","E","D","A+","B","B","B","B","B","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C","C","D","D","D","D","C","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","N","D","D","D","B","B","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C","C","D","C-","D","D","C-","C-","N","E","N","D","N","N","D","D","D","D","N","D","N","D","D","D","D","N","D","D","D","D","D","E","C-","A","B+","C-","C-","D","A-","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C","C","D","C-","D","D","C-","C","N","E","N","D","N","N","D","D","D","D","N","D","N","D","D","D","D","N","D","D","D","D","C-","E","C-","B","A","C-","B","A","A","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","A","D","D","B","A","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","C","N","N","C","C","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","D","B","A","B","B","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","C","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","C","N","N","N","N","N","A+","A+","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","E","N","D","N","N","N","N","N","N","N","D","N","C","D","D","C","N","D","D","D","D","D","E","C-","A-","A+","C-","C-","D","A","D","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","C","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","A-","C","B","B","B","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","C-","A-","A+","C-","C-","D","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","B+","C","C","B","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","N","N","N","N","N","I","A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A+","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","B","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","D","B","B","D","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","D","A","A","D","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","C","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","B","B","C","C","B","B","B","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","N","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","B","E","D","B","B","D","D","C","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","A","C","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","B","E","D","B","B","D","D","C","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","B","A-","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","N","D","D","D","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C","C","C","C-","C","C-","A","C-","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","C-","D","D","D","D","D","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"D","D","D","A","C","C+","D-","C","N","E","N","D","N","N","N","N","N","N","N","C+","N","D","D","D","D","N","D","D","D","D","D","E","C","C","D","D","D","C","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","B","C","D","D","B","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","C","B","D","C","C","B","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","N","N","D","D","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","B","B","D","D","C","B","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","D","D","D","A-","N","N","N","B","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","E","D","D","D","C","A","D","N","N","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"N","N","N","D","C","D","D","D","N","E","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","C","D","D","E","D","D","D","C","C","C","D","D","E","E","E","E","E","D","E","E","N","D","D","N","N","N","N","N","N","N","N","N"
"C-","C-","B+","C-","C-","C-","C-","C-","D","C-","C-","D","E","E","E","E","E","E","D","B","D","D","C","D","D","N","D","D","D","D","C-","E","A","B+","C-","C-","C-","D","N","N","D","D","D","D","D","D","D","D","N","D","D","N","N","N","N","N","N","N","N","N"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","D","D","C","D","C-","C-","N","D","D","D","D","D","E","I","B","B","C-","C-","D","A-","A-","D","D","D","D","D","D","D","D","N","C","D","N","N","N","N","N","N","N","N","N"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","E","E","E","E","E","E","A","C","C","D","D","D","B","B","D","D","D","D","D","D","D","D","N","C","D","N","N","N","N","N","N","N","N","N"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","E","E","E","E","E","E","A","C","C","D","D","D","B","B","D","D","D","D","D","D","D","D","N","C","D","N","N","N","N","N","N","N","N","N"
"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","E","E","E","E","E","E","A","C","C","D","D","D","B","B","D","D","D","D","D","D","D","D","N","C","D","N","N","N","N","N","N","N","N","N"
"D","D","N","D","N","N","D","C","N","N","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","N","D","D","D","D","D","E","D","B","D","C","C","C","B","B","D","C","C","D","C","C","C","N","N","D","C","N","N","N","N","N","N","N","N","N"
